lattitude,longitude
44.237436,-86.346312
43.558018,-86.42475
42.556287,-86.239855
41.987636,-86.560062
44.945915,-85.887627
45.337404,-83.71022
43.607616,-83.940503
42.837966,-83.031451
42.696568,-83.022279
41.749034,-83.494595
41.605536,-83.227756
42.175305,-79.907622
42.786747,-78.813387
42.94137,-78.99877
41.31614,-79.56657
41.114563,-79.56657
39.815588,-80.629301
38.472785,-82.081365
39.079924,-82.308513
39.407461,-84.701465
38.79969,-85.023054
37.370582,-88.514936
36.664273,-83.486625
36.70161,-86.931949
36.514741,-87.676884
36.026765,-89.632338
37.407574,-88.421819
38.727084,-90.284156
39.269831,-90.516948
39.915621,-91.401559
41.154034,-90.982533
42.128238,-90.144481
42.059141,-88.887403
41.43388,-88.887403
42.300652,-90.284156
42.746724,-90.656624
43.392942,-91.07565
43.965358,-91.448117
44.432658,-91.96026
44.83025,-92.891428
45.093798,-92.425844
46.745465,-92.23961
46.745465,-92.23961
46.232588,-86.32669
46.013314,-86.246785
44.719007,-87.707511
45.443774,-87.404838
42.946857,-87.93414
