,quarter,actual,predicted
0,Q12014,9484000000.0,8557203032.780082
1,Q12015,7694000000.0,8168109698.047026
2,Q12016,7448000000.0,8046217405.111926
3,Q12017,6982000000.0,6605235567.090164
4,Q12018,8524000000.0,7707397855.330246
5,Q12019,7086000000.0,7920831610.758331
6,Q12020,6208000000.0,7671074319.030643
7,Q12021,9100000000.0,8442663109.810194
8,Q12022,9630000000.0,7351515281.865299
9,Q42014,7004000000.0,6450732446.451346
10,Q42015,4756000000.0,5608567869.752437
11,Q42016,6044000000.0,5338150550.382264
12,Q42017,5938000000.0,5810741892.3219795
13,Q42018,5664000000.0,7143105408.986708
14,Q42019,5874000000.0,6214527179.115183
15,Q42020,4408000000.0,5784443856.430601
16,Q42021,5614000000.0,4823394408.512321
17,Q42022,5802000000.0,5616088508.223252
